title,id,fun,tags,url,thumbnail,unixtime,foreign_id,date_format,website,source_code,see_also,big_thumb_pos,icon
FIRST_PLATFORMER,1,70,scratch platformer 2D web coop multiplayer complete showcased,,,1497391200,162439969,,,,REMAKE:?projectPage=14,,
TAPE_TAUPE,2,10,scratch arcade 2D web complete,,,1518130800,162691177,,,,REMAKE:?projectPage=7,,
BUBBLE,3,20,scratch arcade 2D web abandoned,,,1548198000,281603316,,,,,,
BARTAILLERIE,4,80,scratch arcade 2D web 1v1 multiplayer abandoned,,,1536876000,198861730,,,,REMAKE:?projectPage=13,,
SPACE_ADVENTURE,5,70,scratch arcade 2D web school complete showcased,,,1611270000,445090385,,,,,,
PUZZLE_PROJ,6,90,scratch 2D web school LTS 24h-nc showcased,,,1671404400,778764577,,,,,,
TAPE_TAUPE_REMAKE,7,100,scratch arcade 2D web LTS 24h-nc showcased,,,1697476730,904901399,,,,ORIGINAL:?projectPage=2,,
PROJECTS,8,-1,web html5 LTS,https://xorblo-doitus.github.io/projects/,,1693605600,projects,"{""year"": ""numeric""}",,,,,
MULTIPLICATION,9,5,scratch web abandoned tool,,,1539658800,252960004,,,,,,
PAINT_ADVENTURE,10,10,scratch web 2D abandoned,,,1553004000,291376189,,,,,,
FETE_DES_PERES,11,20,scratch web 2D complete toy,,,1497772800,163609187,,,,,,
ELEVAGE_DE_NOMBRES,12,5,scratch web 2D abandoned,,,1549634841,283493508,,,,,,
BARTAILLERIE_REMAKE,13,40,scratch web 2D arcade abandoned,,,1650791471,676670178,,,,ORIGINAL:?projectPage=4,,
PLATFORMER_2023,14,30,scratch web 2D platformer abandoned showcased,,,1687352400,864900134,,,,ORIGINAL:?projectPage=1,bottom,
FROM_BELOW,15,80,godot web windows 2D platformer paused showcased,https://xorblo-doitus.github.io/From-Below-HTML5/,/projects/assets/images/thumbnails/From-Below.png,1667032860,From-Below-HTML5,,,,,,
LA_MAISON_DES_SECRETS,16,50,roblox puzzle abandoned showcased,,,1568412000,3886657910,,,,,,
🤣🤣🤣🤣🤣🤣,17,65,roblox visual complete 24h-nc,,,1608573600,6117768086,,,,,,
COLOR_ESCAPE,18,55,roblox platformer abandoned,,,1561882210,3392482592,,,,,,
TERRA_FUNGOS,19,15,roblox abandoned !not.xbox,,,1575482400,4486390403,,,,,,
CARTAILLE,20,5,roblox abandoned !not.xbox,,/projects/assets/images/thumbnails/Cartaille.png,1603214400,5848611896,,,,,,
EREKIR_UTILITY,21,-1,java mod complete,https://github.com/xorblo-doitus/Erekir-Utility/releases/latest,NONE,1684992780,,,,https://github.com/xorblo-doitus/Erekir-Utility,MOD_FOR:https://anuke.itch.io/mindustry,,https://raw.githubusercontent.com/xorblo-doitus/Erekir-Utility/master/assets/sprites/blocks/power/power-saver.png
BLOC_NOTES_PLUS_PLUS,22,-1,godot web windows linux tool school complete,https://github.com/xorblo-doitus/Bloc-notes-plus-plus/,NONE,1706994000,,,,,,,https://raw.githubusercontent.com/xorblo-doitus/Bloc-notes-plus-plus/main/raw_assets/icon.svg
OOB,23,90,godot web windows linux 2D puzzle platformer complete showcased,https://patou-todog.itch.io/oob,,1707847152,,,https://xorblo-doitus.github.io/OOB/play,https://github.com/xorblo-doitus/OOB,,,https://raw.githubusercontent.com/xorblo-doitus/OOB/main/icon.svg
BBCODE_EDIT,24,-1,godot plugin LTS,https://godotengine.org/asset-library/asset/3337,https://raw.githubusercontent.com/xorblo-doitus/BBCodeEdit/main/addons/bbcode_edit.editor/.assets_for_readme/color_completion.gif,1726696800,,,,https://github.com/xorblo-doitus/BBCodeEdit,,,https://raw.githubusercontent.com/xorblo-doitus/BBCodeEdit/main/icon.svg
BOOOUUHGIE,25,80,godot web windows linux 2D puzzle platformer complete showcased 24h-nc,https://patou-todog.itch.io/booouuhgie,,1729424700,,,,https://github.com/xorblo-doitus/booouuhgie,,,https://raw.githubusercontent.com/xorblo-doitus/booouuhgie/main/icon.svg
TILE_SET_CLIPBOARD,26,-1,godot plugin LTS showcased,https://godotengine.org/asset-library/asset/3889,https://raw.githubusercontent.com/xorblo-doitus/TileSet-Clipboard/main/addons/tile_set_clipboard.editor/.assets_for_readme/example_use.gif,1744553460,,,,https://github.com/xorblo-doitus/TileSet-Clipboard,,,https://raw.githubusercontent.com/xorblo-doitus/TileSet-Clipboard/main/icon.svg
